f1_v2_contig	f1_v2_genbank_contig
HG03579#1#h1tg000076l	JAGYVU010000076
HG03579#1#h1tg000077l	JAGYVU010000077
HG03579#1#h1tg000078l	JAGYVU010000078
HG03579#1#h1tg000079l	JAGYVU010000079
HG03579#1#h1tg000080l	JAGYVU010000080
HG03579#1#h1tg000081l	JAGYVU010000081
HG03579#1#h1tg000082l	JAGYVU010000082
HG03579#1#h1tg000083l	JAGYVU010000083
HG03579#1#h1tg000084l	JAGYVU010000084
HG03579#1#h1tg000085l	JAGYVU010000085
HG03579#1#h1tg000086l	JAGYVU010000086
HG03579#1#h1tg000087l	JAGYVU010000087
HG03579#1#h1tg000088l	JAGYVU010000088
HG03579#1#h1tg000089l	JAGYVU010000089
HG03579#1#h1tg000090l	JAGYVU010000090
HG03579#1#h1tg000091l	JAGYVU010000091
HG03579#1#h1tg000092l	JAGYVU010000092
HG03579#1#h1tg000093l	JAGYVU010000093
HG03579#1#h1tg000094l	JAGYVU010000094
HG03579#1#h1tg000095l	JAGYVU010000095
HG03579#1#h1tg000096l	JAGYVU010000096
HG03579#1#h1tg000097l	JAGYVU010000097
HG03579#1#h1tg000098l	JAGYVU010000098
HG03579#1#h1tg000099l	JAGYVU010000099
HG03579#1#h1tg000100l	JAGYVU010000100
HG03579#1#h1tg000101l	JAGYVU010000101
HG03579#1#h1tg000102l	JAGYVU010000102
HG03579#1#h1tg000103l	JAGYVU010000103
HG03579#1#h1tg000104l	JAGYVU010000104
HG03579#1#h1tg000105l	JAGYVU010000105
HG03579#1#h1tg000106l	JAGYVU010000106
HG03579#1#h1tg000107l	JAGYVU010000107
HG03579#1#h1tg000108l	JAGYVU010000108
HG03579#1#h1tg000109l	JAGYVU010000109
HG03579#1#h1tg000110l	JAGYVU010000110
HG03579#1#h1tg000111l	JAGYVU010000111
HG03579#1#h1tg000112l	JAGYVU010000112
HG03579#1#h1tg000113l	JAGYVU010000113
HG03579#1#h1tg000114l	JAGYVU010000114
HG03579#1#h1tg000115l	JAGYVU010000115
HG03579#1#h1tg000116l	JAGYVU010000116
HG03579#1#h1tg000117l	JAGYVU010000117
HG03579#1#h1tg000118l	JAGYVU010000118
HG03579#1#h1tg000119l	JAGYVU010000119
HG03579#1#h1tg000120l	JAGYVU010000120
HG03579#1#h1tg000121l	JAGYVU010000121
HG03579#1#h1tg000122l	JAGYVU010000122
HG03579#1#h1tg000123l	JAGYVU010000123
HG03579#1#h1tg000124l	JAGYVU010000124
HG03579#1#h1tg000125l	JAGYVU010000125
HG03579#1#h1tg000126l	JAGYVU010000126
HG03579#1#h1tg000127l	JAGYVU010000127
HG03579#1#h1tg000128l	JAGYVU010000128
HG03579#1#h1tg000129l	JAGYVU010000129
HG03579#1#h1tg000130l	JAGYVU010000130
HG03579#1#h1tg000131l	JAGYVU010000131
HG03579#1#h1tg000132l	JAGYVU010000132
HG03579#1#h1tg000133l	JAGYVU010000133
HG03579#1#h1tg000134l	JAGYVU010000134
HG03579#1#h1tg000135l	JAGYVU010000135
HG03579#1#h1tg000136l	JAGYVU010000136
HG03579#1#h1tg000137l	JAGYVU010000137
HG03579#1#h1tg000138l	JAGYVU010000138
HG03579#1#h1tg000139l	JAGYVU010000139
HG03579#1#h1tg000140l	JAGYVU010000140
HG03579#1#h1tg000141l	JAGYVU010000141
HG03579#1#h1tg000142l	JAGYVU010000142
HG03579#1#h1tg000143l	JAGYVU010000143
HG03579#1#h1tg000144l	JAGYVU010000144
HG03579#1#h1tg000145l	JAGYVU010000145
HG03579#1#h1tg000146l	JAGYVU010000146
HG03579#1#h1tg000147l	JAGYVU010000147
HG03579#1#h1tg000148l	JAGYVU010000148
HG03579#1#h1tg000149l	JAGYVU010000149
HG03579#1#h1tg000150l	JAGYVU010000150
HG03579#1#h1tg000151l	JAGYVU010000151
HG03579#1#h1tg000152l	JAGYVU010000152
HG03579#1#h1tg000153l	JAGYVU010000153
HG03579#1#h1tg000154l	JAGYVU010000154
HG03579#1#h1tg000155c	JAGYVU010000155
HG03579#1#h1tg000156l	JAGYVU010000156
HG03579#1#h1tg000157l	JAGYVU010000157
HG03579#1#h1tg000158l	JAGYVU010000158
HG03579#1#h1tg000159l	JAGYVU010000159
HG03579#1#h1tg000160l	JAGYVU010000160
HG03579#1#h1tg000161l	JAGYVU010000161
HG03579#1#h1tg000162l	JAGYVU010000162
HG03579#1#h1tg000163l	JAGYVU010000163
HG03579#1#h1tg000164l	JAGYVU010000164
HG03579#1#h1tg000165l	JAGYVU010000165
HG03579#1#h1tg000166l	JAGYVU010000166
HG03579#1#h1tg000167l	JAGYVU010000167
HG03579#1#h1tg000168l	JAGYVU010000168
HG03579#1#h1tg000169l	JAGYVU010000169
HG03579#1#h1tg000170l	JAGYVU010000170
HG03579#1#h1tg000171l	JAGYVU010000171
HG03579#1#h1tg000172l	JAGYVU010000172
HG03579#1#h1tg000173l	JAGYVU010000173
HG03579#1#h1tg000174l	JAGYVU010000174
HG03579#1#h1tg000175l	JAGYVU010000175
HG03579#1#h1tg000176l	JAGYVU010000176
HG03579#1#h1tg000177c	JAGYVU010000177
HG03579#1#h1tg000178l	JAGYVU010000178
HG03579#1#h1tg000179l	JAGYVU010000179
HG03579#1#h1tg000180l	JAGYVU010000180
HG03579#1#h1tg000181l	JAGYVU010000181
HG03579#1#h1tg000182l	JAGYVU010000182
HG03579#1#h1tg000183l	JAGYVU010000183
HG03579#1#h1tg000184l	JAGYVU010000184
HG03579#1#h1tg000185l	JAGYVU010000185
HG03579#1#h1tg000186l	JAGYVU010000186
HG03579#1#h1tg000187l	JAGYVU010000187
HG03579#1#h1tg000188l	JAGYVU010000188
HG03579#1#h1tg000189l	JAGYVU010000189
HG03579#1#h1tg000190l	JAGYVU010000190
HG03579#1#h1tg000191l	JAGYVU010000191
HG03579#1#h1tg000192l	JAGYVU010000192
HG03579#1#h1tg000193l	JAGYVU010000193
HG03579#1#h1tg000194l	JAGYVU010000194
HG03579#1#h1tg000195l	JAGYVU010000195
HG03579#1#h1tg000197l	JAGYVU010000196
HG03579#1#h1tg000198l	JAGYVU010000197
HG03579#1#h1tg000199l	JAGYVU010000198
HG03579#1#h1tg000200l	JAGYVU010000199
HG03579#1#h1tg000201l	JAGYVU010000200
HG03579#1#h1tg000202l	JAGYVU010000201
HG03579#1#h1tg000203l	JAGYVU010000202
HG03579#1#h1tg000204l	JAGYVU010000203
HG03579#1#h1tg000205l	JAGYVU010000204
HG03579#1#h1tg000206l	JAGYVU010000205
HG03579#1#h1tg000207l	JAGYVU010000206
HG03579#1#h1tg000208l	JAGYVU010000207
HG03579#1#h1tg000209l	JAGYVU010000208
HG03579#1#h1tg000210l	JAGYVU010000209
HG03579#1#h1tg000211l	JAGYVU010000210
HG03579#1#h1tg000212l	JAGYVU010000211
HG03579#1#h1tg000213l	JAGYVU010000212
HG03579#1#h1tg000214l	JAGYVU010000213
HG03579#1#h1tg000215l	JAGYVU010000214
HG03579#1#h1tg000216l	JAGYVU010000215
HG03579#1#h1tg000217l	JAGYVU010000216
HG03579#1#h1tg000218l	JAGYVU010000217
HG03579#1#h1tg000219l	JAGYVU010000218
HG03579#1#h1tg000220l	JAGYVU010000219
HG03579#1#h1tg000221l	JAGYVU010000220
HG03579#1#h1tg000222l	JAGYVU010000221
HG03579#1#h1tg000223l	JAGYVU010000222
HG03579#1#h1tg000224l	JAGYVU010000223
HG03579#1#h1tg000225l	JAGYVU010000224
HG03579#1#h1tg000226l	JAGYVU010000225
HG03579#1#h1tg000227l	JAGYVU010000226
HG03579#1#h1tg000228l	JAGYVU010000227
HG03579#1#h1tg000229l	JAGYVU010000228
HG03579#1#h1tg000230l	JAGYVU010000229
HG03579#1#h1tg000231l	JAGYVU010000230
HG03579#1#h1tg000232l	JAGYVU010000231
HG03579#1#h1tg000233l	JAGYVU010000232
HG03579#1#h1tg000234l	JAGYVU010000233
HG03579#1#h1tg000236l	JAGYVU010000234
HG03579#1#h1tg000237l	JAGYVU010000235
HG03579#1#h1tg000238l	JAGYVU010000236
HG03579#1#h1tg000239l	JAGYVU010000237
HG03579#1#h1tg000240c	JAGYVU010000238
HG03579#1#h1tg000241l	JAGYVU010000239
HG03579#1#h1tg000242l	JAGYVU010000240
HG03579#1#h1tg000243l	JAGYVU010000241
HG03579#1#h1tg000244l	JAGYVU010000242
HG03579#1#h1tg000245l	JAGYVU010000243
HG03579#1#h1tg000246l	JAGYVU010000244
HG03579#1#h1tg000247l	JAGYVU010000245
HG03579#1#h1tg000248l	JAGYVU010000246
HG03579#1#h1tg000249l	JAGYVU010000247
HG03579#1#h1tg000250l	JAGYVU010000248
HG03579#1#h1tg000251l	JAGYVU010000249
HG03579#1#h1tg000252l	JAGYVU010000250
HG03579#1#h1tg000253l	JAGYVU010000251
HG03579#1#h1tg000254l	JAGYVU010000252
HG03579#1#h1tg000255l	JAGYVU010000253
HG03579#1#h1tg000256l	JAGYVU010000254
HG03579#1#h1tg000257l	JAGYVU010000255
HG03579#1#h1tg000258l	JAGYVU010000256
HG03579#1#h1tg000259l	JAGYVU010000257
HG03579#1#h1tg000260l	JAGYVU010000258
HG03579#1#h1tg000261l	JAGYVU010000259
HG03579#1#h1tg000262l	JAGYVU010000260
HG03579#1#h1tg000263l	JAGYVU010000261
HG03579#1#h1tg000264l	JAGYVU010000262
HG03579#1#h1tg000265l	JAGYVU010000263
HG03579#1#h1tg000266l	JAGYVU010000264
HG03579#1#h1tg000267l	JAGYVU010000265
HG03579#1#h1tg000268l	JAGYVU010000266
HG03579#1#h1tg000269l	JAGYVU010000267
HG03579#1#h1tg000270l	JAGYVU010000268
HG03579#1#h1tg000272l	JAGYVU010000269
HG03579#1#h1tg000273l	JAGYVU010000270
HG03579#1#h1tg000274l	JAGYVU010000271
HG03579#1#h1tg000275l	JAGYVU010000272
HG03579#1#h1tg000276l	JAGYVU010000273
HG03579#1#h1tg000277l	JAGYVU010000274
HG03579#1#h1tg000278l	JAGYVU010000275
HG03579#1#h1tg000279l	JAGYVU010000276
HG03579#1#h1tg000281l	JAGYVU010000277
HG03579#1#h1tg000282l	JAGYVU010000278
HG03579#1#h1tg000283l	JAGYVU010000279
HG03579#1#h1tg000284l	JAGYVU010000280
HG03579#1#h1tg000285l	JAGYVU010000281
HG03579#1#h1tg000287l	JAGYVU010000282
HG03579#1#h1tg000288l	JAGYVU010000283
HG03579#1#h1tg000289l	JAGYVU010000284
HG03579#1#h1tg000290l	JAGYVU010000285
HG03579#1#h1tg000291l	JAGYVU010000286
HG03579#1#h1tg000292l	JAGYVU010000287
HG03579#1#h1tg000293l	JAGYVU010000288
HG03579#1#h1tg000294l	JAGYVU010000289
HG03579#1#h1tg000295l	JAGYVU010000290
HG03579#1#h1tg000296l	JAGYVU010000291
HG03579#1#h1tg000297l	JAGYVU010000292
HG03579#1#h1tg000299l	JAGYVU010000293
HG03579#1#h1tg000300l	JAGYVU010000294
HG03579#1#h1tg000302l	JAGYVU010000295
HG03579#1#h1tg000303l	JAGYVU010000296
HG03579#1#h1tg000304l	JAGYVU010000297
HG03579#1#h1tg000305l	JAGYVU010000298
HG03579#1#h1tg000307l	JAGYVU010000299
HG03579#1#h1tg000309l	JAGYVU010000300
HG03579#1#h1tg000310l	JAGYVU010000301
HG03579#1#h1tg000311l	JAGYVU010000302
HG03579#1#h1tg000312l	JAGYVU010000303
HG03579#1#h1tg000313l	JAGYVU010000304
HG03579#1#h1tg000314l	JAGYVU010000305
HG03579#1#h1tg000315l	JAGYVU010000306
HG03579#1#h1tg000316l	JAGYVU010000307
HG03579#1#h1tg000317l	JAGYVU010000308
HG03579#1#h1tg000318l	JAGYVU010000309
HG03579#1#h1tg000319l	JAGYVU010000310
HG03579#1#h1tg000320l	JAGYVU010000311
HG03579#1#h1tg000321l	JAGYVU010000312
HG03579#1#h1tg000322l	JAGYVU010000313
HG03579#1#h1tg000323l	JAGYVU010000314
HG03579#1#h1tg000324l	JAGYVU010000315
HG03579#1#h1tg000325l	JAGYVU010000316
HG03579#1#h1tg000326l	JAGYVU010000317
HG03579#1#h1tg000327l	JAGYVU010000318
HG03579#1#h1tg000328l	JAGYVU010000319
HG03579#1#h1tg000329l	JAGYVU010000320
HG03579#1#h1tg000330l	JAGYVU010000321
HG03579#1#h1tg000331l	JAGYVU010000322
HG03579#1#h1tg000332l	JAGYVU010000323
HG03579#1#h1tg000333c	JAGYVU010000324
HG03579#1#h1tg000335l	JAGYVU010000325
HG03579#1#h1tg000337l	JAGYVU010000326
HG03579#1#h1tg000338l	JAGYVU010000327
HG03579#1#h1tg000340l	JAGYVU010000328
HG03579#1#h1tg000341l	JAGYVU010000329
HG03579#1#h1tg000342l	JAGYVU010000330
HG03579#1#h1tg000344l	JAGYVU010000331
HG03579#1#h1tg000345l	JAGYVU010000332
HG03579#1#h1tg000346l	JAGYVU010000333
HG03579#1#h1tg000347l	JAGYVU010000334
HG03579#1#h1tg000348l	JAGYVU010000335
HG03579#1#h1tg000349l	JAGYVU010000336
HG03579#1#h1tg000350l	JAGYVU010000337
HG03579#1#h1tg000351l	JAGYVU010000338
HG03579#1#h1tg000352l	JAGYVU010000339
HG03579#1#h1tg000353l	JAGYVU010000340
HG03579#1#h1tg000355l	JAGYVU010000341
HG03579#1#h1tg000356l	JAGYVU010000342
HG03579#1#h1tg000357l	JAGYVU010000343
HG03579#1#h1tg000358l	JAGYVU010000344
HG03579#1#h1tg000359l	JAGYVU010000345
HG03579#1#h1tg000360l	JAGYVU010000346
HG03579#1#h1tg000361l	JAGYVU010000347
HG03579#1#h1tg000362l	JAGYVU010000348
HG03579#1#h1tg000363l	JAGYVU010000349
HG03579#1#h1tg000365l	JAGYVU010000350
HG03579#1#h1tg000366l	JAGYVU010000351
HG03579#1#h1tg000367l	JAGYVU010000352
HG03579#1#h1tg000368l	JAGYVU010000353
HG03579#1#h1tg000370l	JAGYVU010000354
HG03579#1#h1tg000371l	JAGYVU010000355
HG03579#1#h1tg000373l	JAGYVU010000356
HG03579#1#h1tg000374l	JAGYVU010000357
HG03579#1#h1tg000375l	JAGYVU010000358
HG03579#1#h1tg000376l	JAGYVU010000359
HG03579#1#h1tg000377l	JAGYVU010000360
HG03579#1#h1tg000378l	JAGYVU010000361
HG03579#1#h1tg000379l	JAGYVU010000362
HG03579#1#h1tg000380l	JAGYVU010000363
HG03579#1#h1tg000381l	JAGYVU010000364
HG03579#1#h1tg000382c	JAGYVU010000365
HG03579#1#h1tg000383l	JAGYVU010000366
HG03579#1#h1tg000384l	JAGYVU010000367
HG03579#1#h1tg000385l	JAGYVU010000368
HG03579#1#h1tg000386l	JAGYVU010000369
HG03579#1#h1tg000388l	JAGYVU010000370
HG03579#1#h1tg000389l	JAGYVU010000371
HG03579#1#h1tg000390l	JAGYVU010000372
HG03579#1#h1tg000391l	JAGYVU010000373
HG03579#1#h1tg000392l	JAGYVU010000374
HG03579#1#h1tg000395l	JAGYVU010000375
HG03579#1#h1tg000396l	JAGYVU010000376
HG03579#1#h1tg000397l	JAGYVU010000377
HG03579#1#h1tg000398l	JAGYVU010000378
HG03579#1#h1tg000399l	JAGYVU010000379
HG03579#1#h1tg000400l	JAGYVU010000380
HG03579#1#h1tg000401l	JAGYVU010000381
HG03579#1#h1tg000402l	JAGYVU010000382
HG03579#1#h1tg000403l	JAGYVU010000383
HG03579#1#h1tg000404l	JAGYVU010000384
HG03579#1#h1tg000405l	JAGYVU010000385
HG03579#1#h1tg000406l	JAGYVU010000386
HG03579#1#h1tg000407l	JAGYVU010000387
HG03579#1#h1tg000408l	JAGYVU010000388
HG03579#1#h1tg000410l	JAGYVU010000389
HG03579#1#h1tg000411l	JAGYVU010000390
HG03579#1#h1tg000412l	JAGYVU010000391
HG03579#1#h1tg000413l	JAGYVU010000392
HG03579#1#h1tg000414l	JAGYVU010000393
HG03579#1#h1tg000415l	JAGYVU010000394
HG03579#1#h1tg000416l	JAGYVU010000395
HG03579#1#h1tg000418l	JAGYVU010000396
HG03579#1#h1tg000419l	JAGYVU010000397
HG03579#1#h1tg000420l	JAGYVU010000398
HG03579#1#h1tg000421l	JAGYVU010000399
HG03579#1#h1tg000423l	JAGYVU010000400
HG03579#1#h1tg000424l	JAGYVU010000401
HG03579#1#h1tg000425l	JAGYVU010000402
HG03579#1#h1tg000427l	JAGYVU010000403
HG03579#1#h1tg000428l	JAGYVU010000404
HG03579#1#h1tg000430l	JAGYVU010000405
HG03579#1#h1tg000431l	JAGYVU010000406
HG03579#1#h1tg000432l	JAGYVU010000407
HG03579#1#h1tg000434l	JAGYVU010000408
HG03579#1#h1tg000436l	JAGYVU010000409
HG03579#1#h1tg000437l	JAGYVU010000410
HG03579#1#h1tg000439l	JAGYVU010000411
HG03579#1#h1tg000442l	JAGYVU010000412
HG03579#1#h1tg000443l	JAGYVU010000413
HG03579#1#h1tg000444l	JAGYVU010000414
HG03579#1#h1tg000445l	JAGYVU010000415
HG03579#1#h1tg000446l	JAGYVU010000416
HG03579#1#h1tg000447l	JAGYVU010000417
HG03579#1#h1tg000449l	JAGYVU010000418
HG03579#1#h1tg000450l	JAGYVU010000419
HG03579#1#h1tg000452l	JAGYVU010000420
HG03579#1#h1tg000455l	JAGYVU010000421
HG03579#1#h1tg000457l	JAGYVU010000422
HG03579#1#h1tg000460l	JAGYVU010000423
HG03579#1#h1tg000461l	JAGYVU010000424
HG03579#1#h1tg000462l	JAGYVU010000425
HG03579#1#h1tg000463l	JAGYVU010000426
HG03579#1#h1tg000464l	JAGYVU010000427
HG03579#1#h1tg000466l	JAGYVU010000428
HG03579#1#h1tg000467l	JAGYVU010000429
HG03579#1#h1tg000468l	JAGYVU010000430
HG03579#1#h1tg000470l	JAGYVU010000431
HG03579#1#h1tg000471l	JAGYVU010000432
HG03579#1#h1tg000473l	JAGYVU010000433
HG03579#1#h1tg000475l	JAGYVU010000434
HG03579#1#h1tg000476l	JAGYVU010000435
HG03579#1#h1tg000478l	JAGYVU010000436
HG03579#1#h1tg000480l	JAGYVU010000437
HG03579#1#h1tg000481l	JAGYVU010000438
HG03579#1#h1tg000482l	JAGYVU010000439
HG03579#1#h1tg000483l	JAGYVU010000440
HG03579#1#h1tg000484l	JAGYVU010000441
HG03579#1#h1tg000485l	JAGYVU010000442
HG03579#1#h1tg000486l	JAGYVU010000443
HG03579#1#h1tg000487l	JAGYVU010000444
HG03579#1#h1tg000488l	JAGYVU010000445
HG03579#1#h1tg000489l	JAGYVU010000446
HG03579#1#h1tg000490l	JAGYVU010000447
HG03579#1#h1tg000491l	JAGYVU010000448
HG03579#1#h1tg000492l	JAGYVU010000449
HG03579#1#h1tg000493l	JAGYVU010000450
HG03579#1#h1tg000494l	JAGYVU010000451
HG03579#1#h1tg000495l	JAGYVU010000452
HG03579#1#h1tg000497l	JAGYVU010000453
HG03579#1#h1tg000498l	JAGYVU010000454
HG03579#1#h1tg000499l	JAGYVU010000455
HG03579#1#h1tg000500l	JAGYVU010000456
HG03579#1#h1tg000502l	JAGYVU010000457
HG03579#1#h1tg000503l	JAGYVU010000458
HG03579#1#h1tg000504l	JAGYVU010000459
HG03579#1#h1tg000505l	JAGYVU010000460
HG03579#1#h1tg000506l	JAGYVU010000461
HG03579#1#h1tg000507l	JAGYVU010000462
HG03579#1#h1tg000508l	JAGYVU010000463
HG03579#1#h1tg000509l	JAGYVU010000464
HG03579#1#h1tg000510l	JAGYVU010000465
HG03579#1#h1tg000511l	JAGYVU010000466
HG03579#1#h1tg000512l	JAGYVU010000467
HG03579#1#h1tg000513l	JAGYVU010000468
HG03579#1#h1tg000514l	JAGYVU010000469
HG03579#1#h1tg000515l	JAGYVU010000470
HG03579#1#h1tg000518l	JAGYVU010000471
HG03579#1#h1tg000520l	JAGYVU010000472
HG03579#1#h1tg000522l	JAGYVU010000473
HG03579#1#h1tg000523l	JAGYVU010000474
HG03579#1#h1tg000524l	JAGYVU010000475
HG03579#1#h1tg000525l	JAGYVU010000476
HG03579#1#h1tg000526l	JAGYVU010000477
HG03579#1#h1tg000527l	JAGYVU010000478
HG03579#1#h1tg000528l	JAGYVU010000479
HG03579#1#h1tg000529l	JAGYVU010000480
HG03579#1#h1tg000530l	JAGYVU010000481
HG03579#1#h1tg000531l	JAGYVU010000482
HG03579#1#h1tg000532l	JAGYVU010000483
HG03579#1#h1tg000534l	JAGYVU010000484
HG03579#1#h1tg000536l	JAGYVU010000485
HG03579#1#h1tg000538l	JAGYVU010000486
HG03579#1#h1tg000541l	JAGYVU010000487
HG03579#1#h1tg000542l	JAGYVU010000488
HG03579#1#h1tg000544l	JAGYVU010000489
HG03579#1#h1tg000545l	JAGYVU010000490
HG03579#1#h1tg000546l	JAGYVU010000491
HG03579#1#h1tg000548l	JAGYVU010000492
HG03579#1#h1tg000549l	JAGYVU010000493
HG03579#1#h1tg000550l	JAGYVU010000494
HG03579#1#h1tg000551l	JAGYVU010000495
HG03579#1#h1tg000552l	JAGYVU010000496
HG03579#1#h1tg000553l	JAGYVU010000497
HG03579#1#h1tg000554l	JAGYVU010000498
HG03579#1#h1tg000555l	JAGYVU010000499
HG03453#2#h2tg000001l	JAGYVV010000001
HG03453#2#h2tg000002l	JAGYVV010000002
HG03453#2#h2tg000003l	JAGYVV010000003
HG03453#2#h2tg000004l	JAGYVV010000004
HG03453#2#h2tg000005l	JAGYVV010000005
HG03453#2#h2tg000006l	JAGYVV010000006
HG03453#2#h2tg000007l	JAGYVV010000007
HG03453#2#h2tg000008l	JAGYVV010000008
HG03453#2#h2tg000009l	JAGYVV010000009
HG03453#2#h2tg000010l	JAGYVV010000010
HG03453#2#h2tg000011l	JAGYVV010000011
HG03453#2#h2tg000012l	JAGYVV010000012
HG03453#2#h2tg000013l	JAGYVV010000013
HG03453#2#h2tg000014l	JAGYVV010000014
HG03453#2#h2tg000015l	JAGYVV010000015
HG03453#2#h2tg000016l	JAGYVV010000016
HG03453#2#h2tg000017l	JAGYVV010000017
HG03453#2#h2tg000018l	JAGYVV010000018
HG03453#2#h2tg000019l	JAGYVV010000019
HG03453#2#h2tg000020l	JAGYVV010000020
HG03453#2#h2tg000021l	JAGYVV010000021
HG03453#2#h2tg000022l	JAGYVV010000022
HG03453#2#h2tg000023l	JAGYVV010000023
HG03453#2#h2tg000024l	JAGYVV010000024
HG03453#2#h2tg000025l	JAGYVV010000025
HG03453#2#h2tg000026l	JAGYVV010000026
HG03453#2#h2tg000027l	JAGYVV010000027
HG03453#2#h2tg000028l	JAGYVV010000028
HG03453#2#h2tg000029l	JAGYVV010000029
HG03453#2#h2tg000030l	JAGYVV010000030
HG03453#2#h2tg000031l	JAGYVV010000031
HG03453#2#h2tg000032l	JAGYVV010000032
HG03453#2#h2tg000033l	JAGYVV010000033
HG03453#2#h2tg000034l	JAGYVV010000034
HG03453#2#h2tg000035l	JAGYVV010000035
HG03453#2#h2tg000036l	JAGYVV010000036
HG03453#2#h2tg000037l	JAGYVV010000037
HG03453#2#h2tg000038l	JAGYVV010000038
HG03453#2#h2tg000039l	JAGYVV010000039
HG03453#2#h2tg000040l	JAGYVV010000040
HG03453#2#h2tg000041l	JAGYVV010000041
HG03453#2#h2tg000042l	JAGYVV010000042
HG03453#2#h2tg000043l	JAGYVV010000043
HG03453#2#h2tg000044l	JAGYVV010000044
HG03453#2#h2tg000045l	JAGYVV010000045
HG03453#2#h2tg000046l	JAGYVV010000046
HG03453#2#h2tg000047l	JAGYVV010000047
HG03453#2#h2tg000048l	JAGYVV010000048
HG03453#2#h2tg000049l	JAGYVV010000049
HG03453#2#h2tg000050l	JAGYVV010000050
HG03453#2#h2tg000051l	JAGYVV010000051
HG03453#2#h2tg000052l	JAGYVV010000052
HG03453#2#h2tg000053l	JAGYVV010000053
HG03453#2#h2tg000054l	JAGYVV010000054
HG03453#2#h2tg000055l	JAGYVV010000055
HG03453#2#h2tg000056l	JAGYVV010000056
HG03453#2#h2tg000057l	JAGYVV010000057
HG03453#2#h2tg000058l	JAGYVV010000058
HG03453#2#h2tg000059l	JAGYVV010000059
HG03453#2#h2tg000060l	JAGYVV010000060
HG03453#2#h2tg000061l	JAGYVV010000061
HG03453#2#h2tg000062l	JAGYVV010000062
HG03453#2#h2tg000063l	JAGYVV010000063
HG03453#2#h2tg000064l	JAGYVV010000064
HG03453#2#h2tg000065l	JAGYVV010000065
HG03453#2#h2tg000066l	JAGYVV010000066
HG03453#2#h2tg000067l	JAGYVV010000067
HG03453#2#h2tg000068l	JAGYVV010000068
HG03453#2#h2tg000069l	JAGYVV010000069
HG03453#2#h2tg000070l	JAGYVV010000070
HG03453#2#h2tg000071l	JAGYVV010000071
HG03453#2#h2tg000072l	JAGYVV010000072
HG03453#2#h2tg000073l	JAGYVV010000073
HG03453#2#h2tg000074l	JAGYVV010000074
HG03453#2#h2tg000075l	JAGYVV010000075
HG03453#2#h2tg000076l	JAGYVV010000076
HG03453#2#h2tg000077l	JAGYVV010000077
HG03453#2#h2tg000078l	JAGYVV010000078
HG03453#2#h2tg000079l	JAGYVV010000079
HG03453#2#h2tg000080l	JAGYVV010000080
HG03453#2#h2tg000081l	JAGYVV010000081
HG03453#2#h2tg000082l	JAGYVV010000082
HG03453#2#h2tg000083l	JAGYVV010000083
HG03453#2#h2tg000084l	JAGYVV010000084
HG03453#2#h2tg000085l	JAGYVV010000085
HG03453#2#h2tg000086l	JAGYVV010000086
HG03453#2#h2tg000087l	JAGYVV010000087
HG03453#2#h2tg000088l	JAGYVV010000088
HG03453#2#h2tg000089l	JAGYVV010000089
HG03453#2#h2tg000090l	JAGYVV010000090
HG03453#2#h2tg000091l	JAGYVV010000091
HG03453#2#h2tg000092l	JAGYVV010000092
HG03453#2#h2tg000093l	JAGYVV010000093
HG03453#2#h2tg000094l	JAGYVV010000094
HG03453#2#h2tg000095l	JAGYVV010000095
HG03453#2#h2tg000096l	JAGYVV010000096
HG03453#2#h2tg000097l	JAGYVV010000097
HG03453#2#h2tg000098l	JAGYVV010000098
HG03453#2#h2tg000099l	JAGYVV010000099
HG03453#2#h2tg000100l	JAGYVV010000100
HG03453#2#h2tg000101l	JAGYVV010000101
HG03453#2#h2tg000102l	JAGYVV010000102
HG03453#2#h2tg000103l	JAGYVV010000103
HG03453#2#h2tg000104l	JAGYVV010000104
HG03453#2#h2tg000105l	JAGYVV010000105
HG03453#2#h2tg000106l	JAGYVV010000106
HG03453#2#h2tg000107l	JAGYVV010000107
HG03453#2#h2tg000108l	JAGYVV010000108
HG03453#2#h2tg000109l	JAGYVV010000109
HG03453#2#h2tg000110l	JAGYVV010000110
HG03453#2#h2tg000111l	JAGYVV010000111
HG03453#2#h2tg000112l	JAGYVV010000112
HG03453#2#h2tg000113l	JAGYVV010000113
HG03453#2#h2tg000114l	JAGYVV010000114
HG03453#2#h2tg000115l	JAGYVV010000115
HG03453#2#h2tg000116l	JAGYVV010000116
HG03453#2#h2tg000117l	JAGYVV010000117
HG03453#2#h2tg000118l	JAGYVV010000118
HG03453#2#h2tg000119l	JAGYVV010000119
HG03453#2#h2tg000120l	JAGYVV010000120
HG03453#2#h2tg000121l	JAGYVV010000121
HG03453#2#h2tg000122l	JAGYVV010000122
HG03453#2#h2tg000123l	JAGYVV010000123
HG03453#2#h2tg000124l	JAGYVV010000124
HG03453#2#h2tg000125l	JAGYVV010000125
HG03453#2#h2tg000126l	JAGYVV010000126
HG03453#2#h2tg000127l	JAGYVV010000127
HG03453#2#h2tg000128l	JAGYVV010000128
HG03453#2#h2tg000129l	JAGYVV010000129
HG03453#2#h2tg000130l	JAGYVV010000130
HG03453#2#h2tg000131l	JAGYVV010000131
HG03453#2#h2tg000132l	JAGYVV010000132
HG03453#2#h2tg000133l	JAGYVV010000133
HG03453#2#h2tg000134l	JAGYVV010000134
HG03453#2#h2tg000135l	JAGYVV010000135
