dropped_contig	size	source
HG01071#1#h1tg000327l	45569	Human gammaherpesvirus 4
HG01071#1#h1tg000328l	44474	Human gammaherpesvirus 4
HG01071#1#h1tg000339l	46069	Human gammaherpesvirus 4
HG01071#1#h1tg000342l	66304	Human gammaherpesvirus 4
HG01071#1#h1tg000343l	43312	Human gammaherpesvirus 4
HG01071#1#h1tg000344l	42264	Human gammaherpesvirus 4
HG01071#1#h1tg000348l	49393	Human gammaherpesvirus 4
HG01071#1#h1tg000349l	56772	Human gammaherpesvirus 4
HG01071#1#h1tg000352l	60458	Human gammaherpesvirus 4
HG01071#1#h1tg000355l	41510	Human gammaherpesvirus 4
HG01071#1#h1tg000356l	53444	Human gammaherpesvirus 4
HG01106#2#h2tg000218l	62151	Human gammaherpesvirus 4
HG01106#2#h2tg000220l	84599	Human gammaherpesvirus 4
HG01106#2#h2tg000229l	42833	Human gammaherpesvirus 4
HG01106#2#h2tg000240l	42243	Human gammaherpesvirus 4
HG01106#2#h2tg000247l	38429	Human gammaherpesvirus 4
HG01106#2#h2tg000249l	44300	Human gammaherpesvirus 4
HG01106#2#h2tg000257l	55694	Human gammaherpesvirus 4
HG01106#2#h2tg000269l	41505	Human gammaherpesvirus 4
HG01106#2#h2tg000270l	40438	Human gammaherpesvirus 4
HG01106#2#h2tg000274l	46936	Human gammaherpesvirus 4
HG01106#2#h2tg000281l	43277	Human gammaherpesvirus 4
HG01106#1#h1tg000176l	43993	Human gammaherpesvirus 4
HG01106#1#h1tg000183l	33833	Human gammaherpesvirus 4
HG01106#1#h1tg000194l	38610	Human gammaherpesvirus 4
HG01106#1#h1tg000197l	33768	Human gammaherpesvirus 4
HG01106#1#h1tg000209l	38415	Human gammaherpesvirus 4
HG01106#1#h1tg000211l	40473	Human gammaherpesvirus 4
HG01106#1#h1tg000215l	46656	Human gammaherpesvirus 4
HG01106#1#h1tg000219l	46369	Human gammaherpesvirus 4
HG01106#1#h1tg000220l	46717	Human gammaherpesvirus 4
HG01106#1#h1tg000242l	48525	Human gammaherpesvirus 4
HG01106#1#h1tg000243l	45081	Human gammaherpesvirus 4
HG01106#1#h1tg000244l	42243	Human gammaherpesvirus 4
HG01106#1#h1tg000252l	38429	Human gammaherpesvirus 4
HG01106#1#h1tg000256l	35105	Human gammaherpesvirus 4
HG01106#1#h1tg000259l	58214	Human gammaherpesvirus 4
HG01106#1#h1tg000263l	43590	Human gammaherpesvirus 4
HG01106#1#h1tg000264l	32242	Human gammaherpesvirus 4
HG01106#1#h1tg000265l	56594	Human gammaherpesvirus 4
HG01106#1#h1tg000277l	41505	Human gammaherpesvirus 4
HG01106#1#h1tg000278l	46025	Human gammaherpesvirus 4
HG01106#1#h1tg000285l	33263	Human gammaherpesvirus 4
HG01106#1#h1tg000290l	51546	Human gammaherpesvirus 4
HG01106#1#h1tg000293l	35031	Human gammaherpesvirus 4
HG01106#1#h1tg000294l	41359	Human gammaherpesvirus 4
HG01106#1#h1tg000295l	49936	Human gammaherpesvirus 4
HG01106#1#h1tg000299l	51406	Human gammaherpesvirus 4
HG01109#2#h2tg000213l	49134	Human gammaherpesvirus 4
HG01109#2#h2tg000247l	51809	Human gammaherpesvirus 4
HG01109#2#h2tg000288l	63194	Human gammaherpesvirus 4
HG01109#2#h2tg000295l	43382	Human gammaherpesvirus 4
HG01109#2#h2tg000298l	39768	Human gammaherpesvirus 4
HG01109#2#h2tg000301l	47377	Human gammaherpesvirus 4
HG01109#2#h2tg000313l	64001	Human gammaherpesvirus 4
HG01109#2#h2tg000317l	39668	Human gammaherpesvirus 4
HG01109#2#h2tg000330l	41717	Human gammaherpesvirus 4
HG01109#2#h2tg000331l	46224	Human gammaherpesvirus 4
HG01109#2#h2tg000340l	47948	Human gammaherpesvirus 4
HG01109#2#h2tg000348l	54938	Human gammaherpesvirus 4
HG01109#2#h2tg000353l	39634	Human gammaherpesvirus 4
HG01109#2#h2tg000365l	32607	Human gammaherpesvirus 4
HG01109#2#h2tg000369l	50838	Human gammaherpesvirus 4
HG01109#2#h2tg000377l	43009	Human gammaherpesvirus 4
HG01109#2#h2tg000379l	47730	Human gammaherpesvirus 4
HG01109#2#h2tg000399l	38203	Human gammaherpesvirus 4
HG01109#2#h2tg000402l	56398	Human gammaherpesvirus 4
HG01109#2#h2tg000408l	51864	Human gammaherpesvirus 4
HG01109#2#h2tg000411l	58300	Human gammaherpesvirus 4
HG01109#1#h1tg000207l	41785	Human gammaherpesvirus 4
HG01109#1#h1tg000211l	49134	Human gammaherpesvirus 4
HG01109#1#h1tg000243l	43190	Human gammaherpesvirus 4
HG01109#1#h1tg000248l	40099	Human gammaherpesvirus 4
HG01109#1#h1tg000251l	51809	Human gammaherpesvirus 4
HG01109#1#h1tg000274l	56175	Human gammaherpesvirus 4
HG01109#1#h1tg000295l	47367	Human gammaherpesvirus 4
HG01109#1#h1tg000307l	63194	Human gammaherpesvirus 4
HG01109#1#h1tg000311l	52098	Human gammaherpesvirus 4
HG01109#1#h1tg000317l	38673	Human gammaherpesvirus 4
HG01109#1#h1tg000320l	43382	Human gammaherpesvirus 4
HG01109#1#h1tg000325l	39768	Human gammaherpesvirus 4
HG01109#1#h1tg000332l	47377	Human gammaherpesvirus 4
HG01109#1#h1tg000334l	48134	Human gammaherpesvirus 4
HG01109#1#h1tg000335l	38618	Human gammaherpesvirus 4
HG01109#1#h1tg000338l	46196	Human gammaherpesvirus 4
HG01109#1#h1tg000341l	47267	Human gammaherpesvirus 4
HG01109#1#h1tg000352l	64001	Human gammaherpesvirus 4
HG01109#1#h1tg000356l	36333	Human gammaherpesvirus 4
HG01109#1#h1tg000357l	39668	Human gammaherpesvirus 4
HG01109#1#h1tg000363l	43450	Human gammaherpesvirus 4
HG01109#1#h1tg000374l	41717	Human gammaherpesvirus 4
HG01109#1#h1tg000379l	38414	Human gammaherpesvirus 4
HG01109#1#h1tg000386l	46224	Human gammaherpesvirus 4
HG01109#1#h1tg000387l	29549	Human gammaherpesvirus 4
HG01109#1#h1tg000397l	41547	Human gammaherpesvirus 4
HG01109#1#h1tg000408l	47948	Human gammaherpesvirus 4
HG01109#1#h1tg000414l	37419	Human gammaherpesvirus 4
HG01109#1#h1tg000417l	32022	Human gammaherpesvirus 4
HG01109#1#h1tg000418l	54938	Human gammaherpesvirus 4
HG01109#1#h1tg000425l	37141	Human gammaherpesvirus 4
HG01109#1#h1tg000430l	39634	Human gammaherpesvirus 4
HG01109#1#h1tg000435l	30145	Human gammaherpesvirus 4
HG01109#1#h1tg000446l	32607	Human gammaherpesvirus 4
HG01109#1#h1tg000448l	31409	Human gammaherpesvirus 4
HG01109#1#h1tg000452l	50838	Human gammaherpesvirus 4
HG01109#1#h1tg000454l	39058	Human gammaherpesvirus 4
HG01109#1#h1tg000456l	35554	Human gammaherpesvirus 4
HG01109#1#h1tg000457l	48998	Human gammaherpesvirus 4
HG01109#1#h1tg000458l	39822	Human gammaherpesvirus 4
HG01109#1#h1tg000461l	38346	Human gammaherpesvirus 4
HG01109#1#h1tg000465l	43009	Human gammaherpesvirus 4
HG01109#1#h1tg000467l	45019	Human gammaherpesvirus 4
HG01109#1#h1tg000470l	39888	Human gammaherpesvirus 4
HG01109#1#h1tg000478l	34510	Human gammaherpesvirus 4
HG01109#1#h1tg000480l	57454	vector/etc
HG01109#1#h1tg000481l	37375	Human gammaherpesvirus 4
HG01109#1#h1tg000482l	50030	Human gammaherpesvirus 4
HG01109#1#h1tg000487l	44072	Human gammaherpesvirus 4
HG01109#1#h1tg000491l	38203	Human gammaherpesvirus 4
HG01109#1#h1tg000492l	56398	Human gammaherpesvirus 4
HG01109#1#h1tg000493l	26086	Human gammaherpesvirus 4
HG01109#1#h1tg000494l	32506	Human gammaherpesvirus 4
HG01109#1#h1tg000496l	43237	Human gammaherpesvirus 4
HG01109#1#h1tg000498l	33382	Human gammaherpesvirus 4
HG01109#1#h1tg000499l	38739	Human gammaherpesvirus 4
HG01109#1#h1tg000500l	38620	Human gammaherpesvirus 4
HG01109#1#h1tg000502l	51864	Human gammaherpesvirus 4
HG01109#1#h1tg000504l	43030	Human gammaherpesvirus 4
HG01109#1#h1tg000507l	43389	Human gammaherpesvirus 4
HG01109#1#h1tg000508l	58300	Human gammaherpesvirus 4
HG01109#1#h1tg000510l	44448	Human gammaherpesvirus 4
HG01109#1#h1tg000511l	38030	Human gammaherpesvirus 4
HG01109#1#h1tg000513l	34190	Human gammaherpesvirus 4
HG01109#1#h1tg000515l	32834	Human gammaherpesvirus 4
HG01109#1#h1tg000520l	53850	vector/etc
HG01109#1#h1tg000524l	45874	Human gammaherpesvirus 4
HG01109#1#h1tg000526l	43204	Human gammaherpesvirus 4
HG01109#1#h1tg000529l	38947	Human gammaherpesvirus 4
HG01109#1#h1tg000530l	37967	Human gammaherpesvirus 4
HG01123#2#h2tg000157l	39204	Human gammaherpesvirus 4
HG01123#2#h2tg000180l	33600	Human gammaherpesvirus 4
HG01123#2#h2tg000187l	42042	Human gammaherpesvirus 4
HG01123#2#h2tg000194l	49534	Human gammaherpesvirus 4
HG01123#2#h2tg000221l	41095	Human gammaherpesvirus 4
HG01123#2#h2tg000224l	49873	Human gammaherpesvirus 4
HG01123#2#h2tg000225l	37791	Human gammaherpesvirus 4
HG01123#2#h2tg000229l	49591	Human gammaherpesvirus 4
HG01123#2#h2tg000235l	39190	Human gammaherpesvirus 4
HG01123#2#h2tg000243l	53603	Human gammaherpesvirus 4
HG01123#2#h2tg000246l	60471	Human gammaherpesvirus 4
HG01123#2#h2tg000247l	46838	Human gammaherpesvirus 4
HG01123#2#h2tg000256l	36411	Human gammaherpesvirus 4
HG01123#2#h2tg000260l	33339	Human gammaherpesvirus 4
HG01123#2#h2tg000276l	48880	Human gammaherpesvirus 4
HG01123#2#h2tg000279l	50594	Human gammaherpesvirus 4
HG01123#2#h2tg000281l	51713	Human gammaherpesvirus 4
HG01123#2#h2tg000298l	25414	Human gammaherpesvirus 4
HG01123#2#h2tg000317l	72157	Human gammaherpesvirus 4
HG01123#2#h2tg000319l	54622	Human gammaherpesvirus 4
HG01123#2#h2tg000322l	35823	Human gammaherpesvirus 4
HG01123#2#h2tg000332l	43660	Human gammaherpesvirus 4
HG01123#2#h2tg000336l	38923	Human gammaherpesvirus 4
HG01123#2#h2tg000338l	32028	Human gammaherpesvirus 4
HG01123#2#h2tg000342l	53617	Human gammaherpesvirus 4
HG01123#2#h2tg000350l	39827	Human gammaherpesvirus 4
HG01123#2#h2tg000352l	37653	Human gammaherpesvirus 4
HG01123#2#h2tg000366l	37034	Human gammaherpesvirus 4
HG01123#2#h2tg000372l	56328	Human gammaherpesvirus 4
HG01123#2#h2tg000373l	52597	Human gammaherpesvirus 4
HG01123#2#h2tg000375l	45541	Human gammaherpesvirus 4
HG01123#2#h2tg000379l	44605	Human gammaherpesvirus 4
HG01123#2#h2tg000382l	39908	Human gammaherpesvirus 4
HG01123#2#h2tg000386l	42284	Human gammaherpesvirus 4
HG01123#1#h1tg000145l	37989	Human gammaherpesvirus 4
HG01123#1#h1tg000163l	33385	Human gammaherpesvirus 4
HG01123#1#h1tg000174l	39204	Human gammaherpesvirus 4
HG01123#1#h1tg000179l	37623	Human gammaherpesvirus 4
HG01123#1#h1tg000182l	24734	Human gammaherpesvirus 4
HG01123#1#h1tg000195l	25710	Human gammaherpesvirus 4
HG01123#1#h1tg000196l	28626	Human gammaherpesvirus 4
HG01123#1#h1tg000203l	31437	Human gammaherpesvirus 4
HG01123#1#h1tg000209l	33600	Human gammaherpesvirus 4
HG01123#1#h1tg000217l	42042	Human gammaherpesvirus 4
HG01123#1#h1tg000224l	27034	Human gammaherpesvirus 4
HG01123#1#h1tg000225l	49534	Human gammaherpesvirus 4
HG01123#1#h1tg000234l	34783	Human gammaherpesvirus 4
HG01123#1#h1tg000241l	38765	Human gammaherpesvirus 4
HG01123#1#h1tg000246l	41095	Human gammaherpesvirus 4
HG01123#1#h1tg000250l	32830	Human gammaherpesvirus 4
HG01123#1#h1tg000251l	32959	Human gammaherpesvirus 4
HG01123#1#h1tg000252l	49873	Human gammaherpesvirus 4
HG01123#1#h1tg000253l	37791	Human gammaherpesvirus 4
HG01123#1#h1tg000257l	49591	Human gammaherpesvirus 4
HG01123#1#h1tg000259l	33489	Human gammaherpesvirus 4
HG01123#1#h1tg000263l	39190	Human gammaherpesvirus 4
HG01123#1#h1tg000268l	53603	Human gammaherpesvirus 4
HG01123#1#h1tg000274l	60471	Human gammaherpesvirus 4
HG01123#1#h1tg000275l	46838	Human gammaherpesvirus 4
HG01123#1#h1tg000281l	26361	Human gammaherpesvirus 4
HG01123#1#h1tg000290l	36411	Human gammaherpesvirus 4
HG01123#1#h1tg000294l	33339	Human gammaherpesvirus 4
HG01123#1#h1tg000300l	30285	Human gammaherpesvirus 4
HG01123#1#h1tg000303l	31145	Human gammaherpesvirus 4
HG01123#1#h1tg000307l	34568	Human gammaherpesvirus 4
HG01123#1#h1tg000309l	28705	Human gammaherpesvirus 4
HG01123#1#h1tg000310l	34360	Human gammaherpesvirus 4
HG01123#1#h1tg000323l	48880	Human gammaherpesvirus 4
HG01123#1#h1tg000326l	26746	Human gammaherpesvirus 4
HG01123#1#h1tg000329l	50594	Human gammaherpesvirus 4
HG01123#1#h1tg000331l	51713	Human gammaherpesvirus 4
HG01123#1#h1tg000332l	28969	Human gammaherpesvirus 4
HG01123#1#h1tg000337l	31284	Human gammaherpesvirus 4
HG01123#1#h1tg000349l	30097	Human gammaherpesvirus 4
HG01123#1#h1tg000352l	25414	Human gammaherpesvirus 4
HG01123#1#h1tg000354l	41370	Human gammaherpesvirus 4
HG01123#1#h1tg000357l	32468	Human gammaherpesvirus 4
HG01123#1#h1tg000366l	29611	Human gammaherpesvirus 4
HG01123#1#h1tg000368l	28780	Human gammaherpesvirus 4
HG01123#1#h1tg000371l	39336	Human gammaherpesvirus 4
HG01123#1#h1tg000376l	26396	Human gammaherpesvirus 4
HG01123#1#h1tg000381l	72157	Human gammaherpesvirus 4
HG01123#1#h1tg000382l	54622	Human gammaherpesvirus 4
HG01123#1#h1tg000383l	26031	Human gammaherpesvirus 4
HG01123#1#h1tg000384l	31986	Human gammaherpesvirus 4
HG01123#1#h1tg000386l	30681	Human gammaherpesvirus 4
HG01123#1#h1tg000390l	35823	Human gammaherpesvirus 4
HG01123#1#h1tg000391l	41906	Human gammaherpesvirus 4
HG01123#1#h1tg000393l	27638	Human gammaherpesvirus 4
HG01123#1#h1tg000396l	31160	Human gammaherpesvirus 4
HG01123#1#h1tg000398l	24154	Human gammaherpesvirus 4
HG01123#1#h1tg000401l	28233	Human gammaherpesvirus 4
HG01123#1#h1tg000405l	43660	Human gammaherpesvirus 4
HG01123#1#h1tg000406l	38923	Human gammaherpesvirus 4
HG01123#1#h1tg000409l	26432	Human gammaherpesvirus 4
HG01123#1#h1tg000412l	29909	Human gammaherpesvirus 4
HG01123#1#h1tg000413l	30535	Human gammaherpesvirus 4
HG01123#1#h1tg000417l	32028	Human gammaherpesvirus 4
HG01123#1#h1tg000425l	27950	Human gammaherpesvirus 4
HG01123#1#h1tg000427l	30381	Human gammaherpesvirus 4
HG01123#1#h1tg000428l	27564	Human gammaherpesvirus 4
HG01123#1#h1tg000431l	33948	Human gammaherpesvirus 4
HG01123#1#h1tg000432l	30876	Human gammaherpesvirus 4
HG01123#1#h1tg000434l	25556	Human gammaherpesvirus 4
HG01123#1#h1tg000437l	26263	Human gammaherpesvirus 4
HG01123#1#h1tg000439l	39827	Human gammaherpesvirus 4
HG01123#1#h1tg000441l	30825	Human gammaherpesvirus 4
HG01123#1#h1tg000442l	36658	Human gammaherpesvirus 4
HG01123#1#h1tg000443l	37653	Human gammaherpesvirus 4
HG01123#1#h1tg000448l	30766	Human gammaherpesvirus 4
HG01123#1#h1tg000451l	24680	Human gammaherpesvirus 4
HG01123#1#h1tg000452l	37617	Human gammaherpesvirus 4
HG01123#1#h1tg000454l	31828	Human gammaherpesvirus 4
HG01123#1#h1tg000457l	31832	Human gammaherpesvirus 4
HG01123#1#h1tg000458l	22642	Human gammaherpesvirus 4
HG01123#1#h1tg000466l	39455	Human gammaherpesvirus 4
HG01123#1#h1tg000467l	32282	Human gammaherpesvirus 4
HG01123#1#h1tg000469l	24640	Human gammaherpesvirus 4
HG01123#1#h1tg000470l	37034	Human gammaherpesvirus 4
HG01123#1#h1tg000472l	42086	Human gammaherpesvirus 4
HG01123#1#h1tg000473l	36525	Human gammaherpesvirus 4
HG01123#1#h1tg000474l	27642	Human gammaherpesvirus 4
HG01123#1#h1tg000475l	36711	Human gammaherpesvirus 4
HG01123#1#h1tg000478l	28517	Human gammaherpesvirus 4
HG01123#1#h1tg000480l	48810	Human gammaherpesvirus 4
HG01123#1#h1tg000481l	37445	Human gammaherpesvirus 4
HG01123#1#h1tg000482l	35472	Human gammaherpesvirus 4
HG01123#1#h1tg000484l	33586	Human gammaherpesvirus 4
HG01123#1#h1tg000485l	25555	Human gammaherpesvirus 4
HG01123#1#h1tg000487l	21862	Human gammaherpesvirus 4
HG01123#1#h1tg000488l	56328	Human gammaherpesvirus 4
HG01123#1#h1tg000489l	52597	Human gammaherpesvirus 4
HG01123#1#h1tg000492l	45541	Human gammaherpesvirus 4
HG01123#1#h1tg000493l	37715	Human gammaherpesvirus 4
HG01123#1#h1tg000494l	28491	Human gammaherpesvirus 4
HG01123#1#h1tg000495l	33129	Human gammaherpesvirus 4
HG01123#1#h1tg000499l	30794	Human gammaherpesvirus 4
HG01123#1#h1tg000502l	44605	Human gammaherpesvirus 4
HG01123#1#h1tg000503l	36554	Human gammaherpesvirus 4
HG01123#1#h1tg000504l	38912	Human gammaherpesvirus 4
HG01123#1#h1tg000507l	29126	Human gammaherpesvirus 4
HG01123#1#h1tg000508l	37399	Human gammaherpesvirus 4
HG01123#1#h1tg000509l	33670	Human gammaherpesvirus 4
HG01123#1#h1tg000510l	34534	Human gammaherpesvirus 4
HG01123#1#h1tg000511l	39908	Human gammaherpesvirus 4
HG01123#1#h1tg000517l	29065	Human gammaherpesvirus 4
HG01123#1#h1tg000519l	33631	Human gammaherpesvirus 4
HG01123#1#h1tg000521l	34746	Human gammaherpesvirus 4
HG01123#1#h1tg000522l	33795	Human gammaherpesvirus 4
HG01123#1#h1tg000526l	33619	Human gammaherpesvirus 4
HG01123#1#h1tg000527l	44693	Human gammaherpesvirus 4
HG01123#1#h1tg000529l	32306	Human gammaherpesvirus 4
HG01123#1#h1tg000530l	42284	Human gammaherpesvirus 4
HG01123#1#h1tg000531l	33775	Human gammaherpesvirus 4
HG01123#1#h1tg000532l	31982	Human gammaherpesvirus 4
HG01123#1#h1tg000533l	24557	Human gammaherpesvirus 4
HG01123#1#h1tg000535l	38919	Human gammaherpesvirus 4
HG01123#1#h1tg000538l	26207	Human gammaherpesvirus 4
HG01123#1#h1tg000539l	28929	Human gammaherpesvirus 4
HG01123#1#h1tg000543l	32151	Human gammaherpesvirus 4
HG01123#1#h1tg000546l	27712	Human gammaherpesvirus 4
HG01123#1#h1tg000550l	28732	Human gammaherpesvirus 4
HG01123#1#h1tg000551l	29392	Human gammaherpesvirus 4
HG01123#1#h1tg000553l	44625	Human gammaherpesvirus 4
HG01123#1#h1tg000554l	35721	Human gammaherpesvirus 4
HG01123#1#h1tg000555l	27770	Human gammaherpesvirus 4
HG01123#1#h1tg000557l	30612	Human gammaherpesvirus 4
HG01123#1#h1tg000558l	28797	Human gammaherpesvirus 4
HG01123#1#h1tg000564l	26869	Human gammaherpesvirus 4
HG01175#2#h2tg000251l	73907	Human gammaherpesvirus 4
HG01175#2#h2tg000258l	74329	Human gammaherpesvirus 4
HG01175#2#h2tg000288l	44210	Human gammaherpesvirus 4
HG01175#2#h2tg000292l	116157	Human gammaherpesvirus 4
HG01175#2#h2tg000306l	38822	Human gammaherpesvirus 4
HG01175#2#h2tg000307l	48861	Human gammaherpesvirus 4
HG01175#2#h2tg000314l	39735	Human gammaherpesvirus 4
HG01175#1#h1tg000252l	73907	Human gammaherpesvirus 4
HG01175#1#h1tg000253l	35505	Human gammaherpesvirus 4
HG01175#1#h1tg000264l	74329	Human gammaherpesvirus 4
HG01175#1#h1tg000282l	36530	Human gammaherpesvirus 4
HG01175#1#h1tg000291l	44806	Human gammaherpesvirus 4
HG01175#1#h1tg000304l	30950	Human gammaherpesvirus 4
HG01175#1#h1tg000313l	62900	Human gammaherpesvirus 4
HG01175#1#h1tg000314l	116157	Human gammaherpesvirus 4
HG01175#1#h1tg000316l	36546	Human gammaherpesvirus 4
HG01175#1#h1tg000322l	54476	Human gammaherpesvirus 4
HG01175#1#h1tg000323l	38575	Human gammaherpesvirus 4
HG01175#1#h1tg000327l	30806	Human gammaherpesvirus 4
HG01175#1#h1tg000330l	44493	Human gammaherpesvirus 4
HG01175#1#h1tg000336l	47740	Human gammaherpesvirus 4
HG01175#1#h1tg000339l	41408	Human gammaherpesvirus 4
HG01175#1#h1tg000340l	38822	Human gammaherpesvirus 4
HG01175#1#h1tg000345l	53355	Human gammaherpesvirus 4
HG01175#1#h1tg000346l	37061	Human gammaherpesvirus 4
HG01175#1#h1tg000349l	48136	Human gammaherpesvirus 4
HG01175#1#h1tg000351l	40892	Human gammaherpesvirus 4
HG01175#1#h1tg000352l	59140	Human gammaherpesvirus 4
HG01175#1#h1tg000358l	32962	Human gammaherpesvirus 4
HG01175#1#h1tg000359l	42253	Human gammaherpesvirus 4
HG01175#1#h1tg000364l	39735	Human gammaherpesvirus 4
HG01175#1#h1tg000375l	42991	Human gammaherpesvirus 4
HG01175#1#h1tg000380l	45260	Human gammaherpesvirus 4
HG01175#1#h1tg000385l	35585	Human gammaherpesvirus 4
HG01175#1#h1tg000388l	36714	Human gammaherpesvirus 4
HG01175#1#h1tg000389l	40661	Human gammaherpesvirus 4
HG01175#1#h1tg000390l	48479	Human gammaherpesvirus 4
HG01243#2#h2tg000210l	98035	Human gammaherpesvirus 4
HG01243#1#h1tg000206l	98035	Human gammaherpesvirus 4
HG01243#1#h1tg000373l	35354	Human gammaherpesvirus 4
HG01243#1#h1tg000380l	41202	Human gammaherpesvirus 4
HG01243#1#h1tg000394l	47396	Human gammaherpesvirus 4
HG01243#1#h1tg000406l	45349	Human gammaherpesvirus 4
HG01243#1#h1tg000415l	29160	Human gammaherpesvirus 4
HG01243#1#h1tg000420l	45659	Human gammaherpesvirus 4
HG01243#1#h1tg000435l	35172	Human gammaherpesvirus 4
HG01258#2#h2tg000154l	65275	Human gammaherpesvirus 4
HG01258#2#h2tg000167l	40509	Human gammaherpesvirus 4
HG01258#2#h2tg000199l	48509	Human gammaherpesvirus 4
HG01258#2#h2tg000220l	47944	Human gammaherpesvirus 4
HG01258#2#h2tg000234l	39826	Human gammaherpesvirus 4
HG01258#2#h2tg000249l	83517	Human gammaherpesvirus 4
HG01258#2#h2tg000252l	44991	Human gammaherpesvirus 4
HG01258#2#h2tg000266l	39201	Human gammaherpesvirus 4
HG01258#2#h2tg000274l	52517	Human gammaherpesvirus 4
HG01258#2#h2tg000287l	83365	Human gammaherpesvirus 4
HG01258#2#h2tg000308l	53348	Human gammaherpesvirus 4
HG01258#2#h2tg000336l	41775	Human gammaherpesvirus 4
HG01258#2#h2tg000342l	62522	Human gammaherpesvirus 4
HG01258#2#h2tg000370l	65519	Human gammaherpesvirus 4
HG01258#1#h1tg000125l	30026	Human herpesvirus 4 type 2
HG01258#1#h1tg000139l	65275	Human gammaherpesvirus 4
HG01258#1#h1tg000154l	40509	Human gammaherpesvirus 4
HG01258#1#h1tg000166l	40001	Human gammaherpesvirus 4
HG01258#1#h1tg000175l	48509	Human gammaherpesvirus 4
HG01258#1#h1tg000195l	40809	Human gammaherpesvirus 4
HG01258#1#h1tg000205l	47944	Human gammaherpesvirus 4
HG01258#1#h1tg000216l	31985	Human gammaherpesvirus 4
HG01258#1#h1tg000219l	41471	Human gammaherpesvirus 4
HG01258#1#h1tg000223l	39826	Human gammaherpesvirus 4
HG01258#1#h1tg000224l	26953	Human gammaherpesvirus 4
HG01258#1#h1tg000238l	36250	Human gammaherpesvirus 4
HG01258#1#h1tg000240l	83517	Human gammaherpesvirus 4
HG01258#1#h1tg000242l	44991	Human gammaherpesvirus 4
HG01258#1#h1tg000248l	44447	Human gammaherpesvirus 4
HG01258#1#h1tg000251l	34681	Human gammaherpesvirus 4
HG01258#1#h1tg000253l	36221	Human gammaherpesvirus 4
HG01258#1#h1tg000256l	39201	Human gammaherpesvirus 4
HG01258#1#h1tg000257l	28660	Human gammaherpesvirus 4
HG01258#1#h1tg000259l	36211	Human gammaherpesvirus 4
HG01258#1#h1tg000261l	34408	Human gammaherpesvirus 4
HG01258#1#h1tg000262l	38680	Human gammaherpesvirus 4
HG01258#1#h1tg000263l	52517	Human gammaherpesvirus 4
HG01258#1#h1tg000271l	45855	Human gammaherpesvirus 4
HG01258#1#h1tg000272l	52690	Human gammaherpesvirus 4
HG01258#1#h1tg000273l	55016	Human gammaherpesvirus 4
HG01258#1#h1tg000277l	38201	Human gammaherpesvirus 4
HG01258#1#h1tg000278l	83365	Human gammaherpesvirus 4
HG01258#1#h1tg000285l	31318	Human gammaherpesvirus 4
HG01258#1#h1tg000290l	37402	Human gammaherpesvirus 4
HG01258#1#h1tg000293l	29031	Human gammaherpesvirus 4
HG01258#1#h1tg000294l	41169	Human gammaherpesvirus 4
HG01258#1#h1tg000297l	35485	Human gammaherpesvirus 4
HG01258#1#h1tg000298l	36015	Human gammaherpesvirus 4
HG01258#1#h1tg000307l	42661	Human gammaherpesvirus 4
HG01258#1#h1tg000308l	32728	Human gammaherpesvirus 4
HG01258#1#h1tg000309l	53348	Human gammaherpesvirus 4
HG01258#1#h1tg000310l	42503	Human gammaherpesvirus 4
HG01258#1#h1tg000314l	33017	Human gammaherpesvirus 4
HG01258#1#h1tg000315l	52565	Human gammaherpesvirus 4
HG01258#1#h1tg000316l	38814	Human gammaherpesvirus 4
HG01258#1#h1tg000319l	28762	Human gammaherpesvirus 4
HG01258#1#h1tg000321l	39503	Human gammaherpesvirus 4
HG01258#1#h1tg000325l	37804	Human gammaherpesvirus 4
HG01258#1#h1tg000330l	52968	Human gammaherpesvirus 4
HG01258#1#h1tg000331l	55233	Human gammaherpesvirus 4
HG01258#1#h1tg000334l	41376	Human gammaherpesvirus 4
HG01258#1#h1tg000340l	42369	Human gammaherpesvirus 4
HG01258#1#h1tg000341l	30109	Human gammaherpesvirus 4
HG01258#1#h1tg000342l	41775	Human gammaherpesvirus 4
HG01258#1#h1tg000343l	36313	Human gammaherpesvirus 4
HG01258#1#h1tg000344l	44607	Human gammaherpesvirus 4
HG01258#1#h1tg000346l	40404	Human gammaherpesvirus 4
HG01258#1#h1tg000347l	44707	Human gammaherpesvirus 4
HG01258#1#h1tg000353l	49792	Human gammaherpesvirus 4
HG01258#1#h1tg000354l	62522	Human gammaherpesvirus 4
HG01258#1#h1tg000355l	47698	Human gammaherpesvirus 4
HG01258#1#h1tg000356l	39028	Human gammaherpesvirus 4
HG01258#1#h1tg000357l	40035	Human gammaherpesvirus 4
HG01258#1#h1tg000358l	41013	Human gammaherpesvirus 4
HG01258#1#h1tg000359l	44002	Human gammaherpesvirus 4
HG01258#1#h1tg000360l	43009	Human gammaherpesvirus 4
HG01258#1#h1tg000362l	39483	Human gammaherpesvirus 4
HG01258#1#h1tg000363l	31782	Human gammaherpesvirus 4
HG01258#1#h1tg000365l	29488	Human gammaherpesvirus 4
HG01258#1#h1tg000366l	53120	Human gammaherpesvirus 4
HG01258#1#h1tg000369l	65519	Human gammaherpesvirus 4
HG01258#1#h1tg000373l	22113	Human gammaherpesvirus 4
HG01258#1#h1tg000374l	39295	Human gammaherpesvirus 4
